规范番号,系列,标题,AsiaMonstr文章日期,AsiaMonstr详情页,当前官网目录状态,官方资源HEAD地址,HTTP状态,Content-Type,Content-Length,历史记录位置,核查时间,确认结果,说明
GHOR-26,GHOR,GHOR-26 Galaxy Investigator Daytona Pink,"March 27, 2016",https://www.asiamonstr.com/giga/ghor-26-galaxy-investigator-daytona-pink-in-the-ensuing-five-months-yurina-ayashiro.html,完整扫描未收录,https://www.giga-web.jp/db_titles/ghor/ghor26/pac_s.jpg,200,image/jpeg,87438,,2026-09-12T21:44:38+08:00,确认当前官网目录已移除（官方资源残留）,完整官网目录未收录该番号；官网域名下的历史封面资源仍以图像响应。
GHOR-30,GHOR,GHOR-30 Making an Adorable Heroine Your Slave Ⅴ,"April 17, 2016",https://www.asiamonstr.com/giga/ghor-30-making-adorable-heroine-slave-mao-shirakawa-haru-kataoka.html,完整扫描未收录,https://www.giga-web.jp/db_titles/ghor/ghor30/pac_s.jpg,200,image/jpeg,88889,,2026-09-12T21:44:38+08:00,确认当前官网目录已移除（官方资源残留）,完整官网目录未收录该番号；官网域名下的历史封面资源仍以图像响应。
GHOR-32,GHOR,GHOR-32 Heroine Lesbian SM -Two Female Benevolent thief-,"April 7, 2016",https://www.asiamonstr.com/giga/ghor-32-heroine-lesbian-sm-two-female-benevolent-thief-mai-tamaki-mirei-yokoyama.html,完整扫描未收录,https://www.giga-web.jp/db_titles/ghor/ghor32/pac_s.jpg,200,image/jpeg,466905,,2026-09-12T21:44:39+08:00,确认当前官网目录已移除（官方资源残留）,完整官网目录未收录该番号；官网域名下的历史封面资源仍以图像响应。
GHOR-37,GHOR,GHOR-37 Witch Angel Magical Mask -The Second Nightmare-,"April 29, 2016",https://www.asiamonstr.com/giga/ghor-37-witch-angel-magical-mask-second-nightmare-runa-suzumori.html,完整扫描未收录,https://www.giga-web.jp/db_titles/ghor/ghor37/pac_s.jpg,404,text/html; charset=iso-8859-1,,,2026-09-12T21:44:39+08:00,当前官网目录缺失，只有第三方历史线索,完整官网目录未收录；所测官网历史资源路径未命中，现阶段仅有 AsiaMonstr/项目历史线索。
GHOR-47,GHOR,GHOR-47 Making an Adorable Heroine Your Slave 3 REMAKE,"May 12, 2016",https://www.asiamonstr.com/giga/ghor-47-making-adorable-heroine-slave-3-remake-nana-ninomiya-shiori-anzai.html,完整扫描未收录,https://www.giga-web.jp/db_titles/ghor/ghor47/pac_s.jpg,200,image/jpeg,300757,,2026-09-12T21:44:40+08:00,确认当前官网目录已移除（官方资源残留）,完整官网目录未收录该番号；官网域名下的历史封面资源仍以图像响应。
GHOR-69,GHOR,GHOR-69 Rescue Heroine Five Laser,"July 13, 2016",https://www.asiamonstr.com/giga/ghor-69-rescue-heroine-five-laser-maki-hoshikawa.html,完整扫描未收录,https://www.giga-web.jp/db_titles/ghor/ghor69/pac_s.jpg,200,image/jpeg,308542,,2026-09-12T21:44:41+08:00,确认当前官网目录已移除（官方资源残留）,完整官网目录未收录该番号；官网域名下的历史封面资源仍以图像响应。
GHOR-72,GHOR,GHOR-72 Heroine Twisty Bondage Bird 3,"July 29, 2016",https://www.asiamonstr.com/giga/ghor-72-heroine-twisty-bondage-ally-nanami-aoi-bird-3-arisa-seina.html,完整扫描未收录,https://www.giga-web.jp/db_titles/ghor/ghor72/pac_s.jpg,200,image/jpeg,336827,,2026-09-12T21:44:41+08:00,确认当前官网目录已移除（官方资源残留）,完整官网目录未收录该番号；官网域名下的历史封面资源仍以图像响应。
GHOR-73,GHOR,GHOR-73 Vehement Mask Apprentice -The First Battle-,"July 30, 2016",https://www.asiamonstr.com/giga/ghor-73-vehement-mask-apprentice-first-battle-yuri-momose.html,完整扫描未收录,https://www.giga-web.jp/db_titles/ghor/ghor73/pac_s.jpg,200,image/jpeg,306822,,2026-09-12T21:44:41+08:00,确认当前官网目录已移除（官方资源残留）,完整官网目录未收录该番号；官网域名下的历史封面资源仍以图像响应。
GHOR-75,GHOR,GHOR-75 Female Commander Perfect Training,"August 24, 2016",https://www.asiamonstr.com/giga/ghor-75-female-commander-perfect-training-haruna-ikoma-aya-miyazaki.html,完整扫描未收录,https://www.giga-web.jp/db_titles/ghor/ghor75/pac_s.jpg,200,image/jpeg,327372,,2026-09-12T21:44:42+08:00,确认当前官网目录已移除（官方资源残留）,完整官网目录未收录该番号；官网域名下的历史封面资源仍以图像响应。
GHOR-79,GHOR,GHOR-79 Judicial Heroine Judgelia,"August 24, 2016",https://www.asiamonstr.com/giga/ghor-79-judicial-heroine-judgelia-ai-tsukimoto-shijimi.html,完整扫描未收录,https://www.giga-web.jp/db_titles/ghor/ghor79/pac_s.jpg,200,image/jpeg,377327,,2026-09-12T21:44:42+08:00,确认当前官网目录已移除（官方资源残留）,完整官网目录未收录该番号；官网域名下的历史封面资源仍以图像响应。
